pressure,voltage
1.0223,0.0106
1.9573,0.0127
2.9286,0.0143
3.9279,0.0263
4.9678,0.0295
6.1056,0.0344
6.9118,0.0366
7.9964,0.0418
9.1455,0.0476
9.9586,0.0524
11.011,0.0612
12.101,0.0641
13.168,0.0721
13.887,0.0703
14.993,0.0742
16.065,0.0798
16.982,0.0846
18.066,0.0928
18.98,0.0943
20.03,0.0965
20.992,0.1004
21.903,0.1074
23.013,0.1113
24.061,0.1191
25.113,0.1236
26.031,0.1294
26.944,0.1294
27.904,0.1381
28.85,0.139
29.925,0.1461
31.045,0.152
32.064,0.1506
33.015,0.1574
33.973,0.1659
35.075,0.1734
