time,vdd,vres
-4.84000e-02,0.1125,0.0106469
-4.83960e-02,0.1075,0.0105344
-4.83920e-02,0.110625,0.0101969
-4.83880e-02,0.109688,0.0104031
-4.83840e-02,0.114688,0.0106438
-4.83800e-02,0.111563,0.0104125
-4.83760e-02,0.116563,0.0101375
-4.83720e-02,0.114688,0.00988125
-4.83680e-02,0.118125,0.0100344
-4.83640e-02,0.11,0.0104594
-4.83600e-02,0.115625,0.01065
-4.83560e-02,0.113437,0.0101844
-4.83520e-02,0.11875,0.0104438
-4.83480e-02,0.115,0.0100187
-4.83440e-02,0.113437,0.0101406
-4.83400e-02,0.113437,0.0107844
-4.83360e-02,0.109688,0.0107875
-4.83320e-02,0.101875,0.0106531
-4.83280e-02,0.109375,0.010275
-4.83240e-02,0.111875,0.0102312
-4.83200e-02,0.115938,0.0103938
-4.83160e-02,0.110625,0.0105719
-4.83120e-02,0.108437,0.0105063
-4.83080e-02,0.111563,0.0103781
-4.83040e-02,0.114375,0.0102438
-4.83000e-02,0.107813,0.01055
-4.82960e-02,0.1175,0.0106969
-4.82920e-02,0.11,0.0106344
-4.82880e-02,0.109063,0.0104844
-4.82840e-02,0.113437,0.0104844
-4.82800e-02,0.116563,0.0107031
-4.82760e-02,0.115312,0.0105813
-4.82720e-02,0.114375,0.010175
-4.82680e-02,0.107813,0.0101844
-4.82640e-02,0.113437,0.0109438
-4.82600e-02,0.1225,0.0104344
-4.82560e-02,0.111875,0.00996562
-4.82520e-02,0.1125,0.0097375
-4.82480e-02,0.107813,0.00988438
-4.82440e-02,0.107813,0.010675
-4.82400e-02,0.115625,0.0103063
-4.82360e-02,0.1225,0.0105781
-4.82320e-02,0.1075,0.0101313
-4.82280e-02,0.109375,0.0100281
-4.82240e-02,0.112188,0.00982188
-4.82200e-02,0.117188,0.0103938
-4.82160e-02,0.110625,0.0105219
-4.82120e-02,0.115312,0.0103844
-4.82080e-02,0.114063,0.0106406
-4.82040e-02,0.11875,0.010175
-4.82000e-02,0.116563,0.0104781
-4.81960e-02,0.110625,0.0106656
-4.81920e-02,0.115625,0.0105969
-4.81880e-02,0.113125,0.0105531
-4.81840e-02,0.112812,0.0101094
-4.81800e-02,0.105313,0.0107344
-4.81760e-02,0.11,0.0106375
-4.81720e-02,0.1175,0.0106719
-4.81680e-02,0.112188,0.0102531
-4.81640e-02,0.109063,0.0105688
-4.81600e-02,0.112812,0.01065
-4.81560e-02,0.111875,0.0105813
-4.81520e-02,0.112812,0.0104906
-4.81480e-02,0.11375,0.0103063
-4.81440e-02,0.11,0.0103344
-4.81400e-02,0.115938,0.0105469
-4.81360e-02,0.109375,0.010275
-4.81320e-02,0.113125,0.0095
-4.81280e-02,0.111563,0.0098125
-4.81240e-02,0.119687,0.0103063
-4.81200e-02,0.118438,0.0102031
-4.81160e-02,0.11,0.010275
-4.81120e-02,0.107188,0.010225
-4.81080e-02,0.111563,0.0101969
-4.81040e-02,0.115625,0.00990937
-4.81000e-02,0.109063,0.0104094
-4.80960e-02,0.116563,0.0107031
-4.80920e-02,0.1125,0.0103781
-4.80880e-02,0.1125,0.0104563
-4.80840e-02,0.113437,0.0100187
-4.80800e-02,0.11125,0.010425
-4.80760e-02,0.116563,0.0106
-4.80720e-02,0.112188,0.0107
-4.80680e-02,0.110937,0.0107281
-4.80640e-02,0.111875,0.0100969
-4.80600e-02,0.117188,0.0106094
-4.80560e-02,0.114375,0.0107125
-4.80520e-02,0.110313,0.0106781
-4.80480e-02,0.1075,0.0105594
-4.80440e-02,0.109375,0.0102594
-4.80400e-02,0.122813,0.0105531
-4.80360e-02,0.112812,0.0104281
-4.80320e-02,0.111875,0.0104844
-4.80280e-02,0.1125,0.01045
-4.80240e-02,0.11875,0.0104875
-4.80200e-02,0.11125,0.0104969
-4.80160e-02,0.11,0.0105844
-4.80120e-02,0.11,0.0098875
-4.80080e-02,0.114688,0.00990937
-4.80040e-02,0.110937,0.0099125
-4.80000e-02,0.11125,0.0106219
-4.79960e-02,0.107813,0.0105875
-4.79920e-02,0.111563,0.0100375
-4.79880e-02,0.108125,0.0104719
-4.79840e-02,0.1075,0.0099375
-4.79800e-02,0.108437,0.0101531
-4.79760e-02,0.114063,0.0105875
-4.79720e-02,0.110625,0.0106094
-4.79680e-02,0.113437,0.0104469
-4.79640e-02,0.11875,0.0102937
-4.79600e-02,0.112812,0.0101469
-4.79560e-02,0.116563,0.0103719
-4.79520e-02,0.114063,0.0107656
-4.79480e-02,0.119687,0.0108063
-4.79440e-02,0.115,0.0103719
-4.79400e-02,0.110313,0.0106406
-4.79360e-02,0.1125,0.0108281
-4.79320e-02,0.111875,0.0107719
-4.79280e-02,0.108437,0.0107531
-4.79240e-02,0.115625,0.0106125
-4.79200e-02,0.11,0.0106125
-4.79160e-02,0.110313,0.0105937
-4.79120e-02,0.115312,0.010975
-4.79080e-02,0.110937,0.0104469
-4.79040e-02,0.11,0.0103156
-4.79000e-02,0.110937,0.0103281
-4.78960e-02,0.109688,0.0106781
-4.78920e-02,0.11375,0.0102844
-4.78880e-02,0.108125,0.00997187
-4.78840e-02,0.114063,0.00975625
-4.78800e-02,0.109375,0.0105281
-4.78760e-02,0.11375,0.0106656
-4.78720e-02,0.11,0.0105906
-4.78680e-02,0.112188,0.0105
-4.78640e-02,0.115312,0.0100906
-4.78600e-02,0.105938,0.0102656
-4.78560e-02,0.112812,0.0106938
-4.78520e-02,0.11,0.0105125
-4.78480e-02,0.115,0.0105656
-4.78440e-02,0.112812,0.0106
-4.78400e-02,0.107813,0.00987813
-4.78360e-02,0.108437,0.0104313
-4.78320e-02,0.110937,0.0109781
-4.78280e-02,0.11,0.0107375
-4.78240e-02,0.113437,0.0106031
-4.78200e-02,0.104062,0.0105063
-4.78160e-02,0.106875,0.0107
-4.78120e-02,0.11,0.0105656
-4.78080e-02,0.11625,0.010625
-4.78040e-02,0.118438,0.0106781
-4.78000e-02,0.11,0.010375
-4.77960e-02,0.116563,0.0105188
-4.77920e-02,0.1125,0.0104438
-4.77880e-02,0.111563,0.0103281
-4.77840e-02,0.11125,0.0103063
-4.77800e-02,0.114063,0.01005
-4.77760e-02,0.113437,0.0106313
-4.77720e-02,0.120938,0.0103344
-4.77680e-02,0.109375,0.00984375
-4.77640e-02,0.110313,0.00990312
